global_id,novel_id,episode_id,total_pairs,keep,retime,split,merge,resegment,delete_noise,delete_text,insert,rewrite_minor,rewrite_major,split_rewrite,merge_rewrite,resegment_rewrite,keep_like_ratio,delete_text_ratio,insert_ratio,review_pairs,review_ratio
novela002__episode_0042,novela002,episode_0042,38,2,20,9,0,0,0,0,0,3,3,1,0,0,0.8158,0.0,0.0,0,0.0
novela002__episode_0043,novela002,episode_0043,29,0,10,9,0,0,0,0,0,1,5,4,0,0,0.6552,0.0,0.0,0,0.0
novela002__episode_0044,novela002,episode_0044,16,0,2,10,0,0,0,0,0,1,2,0,0,1,0.75,0.0,0.0,0,0.0
novela002__episode_0045,novela002,episode_0045,30,0,10,15,0,0,0,3,0,0,1,1,0,0,0.8333,0.1,0.0,0,0.0
novela002__episode_0046,novela002,episode_0046,19,0,2,6,0,0,0,0,0,0,6,5,0,0,0.4211,0.0,0.0,0,0.0
novela002__episode_0047,novela002,episode_0047,35,0,0,1,0,0,0,9,19,1,3,1,1,0,0.0286,0.2571,0.5429,4,0.1143
novela002__episode_0048,novela002,episode_0048,19,0,4,6,0,1,0,2,0,1,1,4,0,0,0.5789,0.1053,0.0,0,0.0
novela002__episode_0049,novela002,episode_0049,74,0,0,0,0,0,0,36,37,0,0,1,0,0,0.0,0.4865,0.5,2,0.027
novela002__episode_0050,novela002,episode_0050,25,0,17,3,0,0,0,2,0,2,1,0,0,0,0.8,0.08,0.0,0,0.0
novela002__episode_0051,novela002,episode_0051,27,1,6,7,1,0,0,1,0,0,3,7,1,0,0.5556,0.037,0.0,0,0.0
novela002__episode_0052,novela002,episode_0052,69,0,1,3,0,0,0,22,42,0,0,1,0,0,0.058,0.3188,0.6087,6,0.087
novela002__episode_0053,novela002,episode_0053,62,0,4,7,0,0,0,16,30,0,2,2,0,1,0.1774,0.2581,0.4839,1,0.0161
novela002__episode_0054,novela002,episode_0054,47,0,0,6,0,0,0,10,29,0,0,2,0,0,0.1277,0.2128,0.617,4,0.0851
novela002__episode_0055,novela002,episode_0055,62,0,0,1,0,0,0,17,39,1,2,2,0,0,0.0161,0.2742,0.629,8,0.129
novela002__episode_0056,novela002,episode_0056,40,1,16,5,1,0,0,3,9,2,2,1,0,0,0.575,0.075,0.225,0,0.0
novela002__episode_0057,novela002,episode_0057,42,0,18,10,0,0,0,2,0,5,5,2,0,0,0.6667,0.0476,0.0,0,0.0
novela002__episode_0058,novela002,episode_0058,49,0,1,4,0,0,0,16,26,0,0,2,0,0,0.102,0.3265,0.5306,1,0.0204
novela002__episode_0059,novela002,episode_0059,76,0,0,0,0,0,0,26,50,0,0,0,0,0,0.0,0.3421,0.6579,7,0.0921
novela002__episode_0060,novela002,episode_0060,44,1,27,7,0,1,0,0,0,6,2,0,0,0,0.8182,0.0,0.0,0,0.0
novela002__episode_0061,novela002,episode_0061,42,0,8,3,0,0,0,11,15,1,2,1,0,1,0.2619,0.2619,0.3571,1,0.0238
novela002__episode_0062,novela002,episode_0062,25,0,2,17,0,1,0,0,0,1,1,3,0,0,0.8,0.0,0.0,0,0.0
novela003__episode_0001,novela003,episode_0001,34,1,17,10,0,0,0,4,0,1,0,1,0,0,0.8235,0.1176,0.0,0,0.0
novela003__episode_0002,novela003,episode_0002,34,0,2,6,0,0,0,6,17,0,1,2,0,0,0.2353,0.1765,0.5,3,0.0882
novela003__episode_0003,novela003,episode_0003,55,0,3,0,4,1,0,17,19,2,6,1,2,0,0.1455,0.3091,0.3455,0,0.0
novela003__episode_0004,novela003,episode_0004,54,0,1,1,0,0,0,20,28,1,0,3,0,0,0.037,0.3704,0.5185,2,0.037
novela003__episode_0005,novela003,episode_0005,41,0,3,10,0,0,0,7,19,0,1,1,0,0,0.3171,0.1707,0.4634,3,0.0732
novela003__episode_0006,novela003,episode_0006,16,0,4,6,0,0,0,0,0,0,5,1,0,0,0.625,0.0,0.0,0,0.0
novela003__episode_0007,novela003,episode_0007,36,0,13,13,0,1,0,1,1,1,2,4,0,0,0.75,0.0278,0.0278,0,0.0
novela003__episode_0008,novela003,episode_0008,16,0,1,12,0,0,0,0,0,1,1,1,0,0,0.8125,0.0,0.0,1,0.0625
novela003__episode_0009,novela003,episode_0009,36,0,7,23,0,0,0,0,0,2,1,2,1,0,0.8333,0.0,0.0,0,0.0
novela003__episode_0010,novela003,episode_0010,45,0,0,0,0,0,0,14,31,0,0,0,0,0,0.0,0.3111,0.6889,6,0.1333
novela003__episode_0011,novela003,episode_0011,77,0,0,0,0,0,0,17,60,0,0,0,0,0,0.0,0.2208,0.7792,14,0.1818
novela003__episode_0012,novela003,episode_0012,98,1,1,0,0,0,1,35,59,0,0,1,0,0,0.0204,0.3571,0.602,7,0.0714
novela003__episode_0013,novela003,episode_0013,26,0,8,14,0,0,0,1,0,0,2,1,0,0,0.8462,0.0385,0.0,1,0.0385
novela003__episode_0014,novela003,episode_0014,38,0,0,0,0,0,0,15,23,0,0,0,0,0,0.0,0.3947,0.6053,1,0.0263
novela003__episode_0015,novela003,episode_0015,12,0,2,9,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0,0.0
novela003__episode_0016,novela003,episode_0016,13,0,1,9,0,0,0,0,0,0,0,3,0,0,0.7692,0.0,0.0,0,0.0
novela003__episode_0017,novela003,episode_0017,12,0,1,4,0,0,0,0,0,0,1,6,0,0,0.4167,0.0,0.0,0,0.0
novela003__episode_0018,novela003,episode_0018,33,0,0,0,0,0,0,9,24,0,0,0,0,0,0.0,0.2727,0.7273,6,0.1818
novela003__episode_0019,novela003,episode_0019,20,0,14,2,1,0,0,1,0,2,0,0,0,0,0.85,0.05,0.0,0,0.0
novela003__episode_0020,novela003,episode_0020,62,0,2,5,0,0,0,19,34,0,2,0,0,0,0.1129,0.3065,0.5484,4,0.0645
